Entity ID,Friendly Name,State,Unit,Device Class,State Class,Icon,Last Updated,Last Changed,Domain,Integration,Restored,Supported Features
binary_sensor.tor_running,Tor Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.260465+00:00,2025-10-02T15:07:07.260465+00:00,binary_sensor,N/A,False,N/A
binary_sensor.spotify_connect_running,Spotify Connect Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.261211+00:00,2025-10-02T15:07:07.261211+00:00,binary_sensor,N/A,False,N/A
binary_sensor.tailscale_running,Tailscale Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.261699+00:00,2025-10-02T15:07:07.261699+00:00,binary_sensor,N/A,False,N/A
binary_sensor.uptime_kuma_running,Uptime Kuma Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.263094+00:00,2025-10-02T15:07:07.263094+00:00,binary_sensor,N/A,False,N/A
binary_sensor.matter_server_running,Matter Server Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.263623+00:00,2025-10-02T15:07:07.263623+00:00,binary_sensor,N/A,False,N/A
binary_sensor.log_viewer_running,Log Viewer Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.264037+00:00,2025-10-02T15:07:07.264037+00:00,binary_sensor,N/A,False,N/A
binary_sensor.zerotier_one_running,ZeroTier One Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.264408+00:00,2025-10-02T15:07:07.264408+00:00,binary_sensor,N/A,False,N/A
binary_sensor.ewelink_smart_home_running,eWeLink Smart Home Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.264810+00:00,2025-10-02T15:07:07.264810+00:00,binary_sensor,N/A,False,N/A
binary_sensor.home_assistant_google_drive_backup_running,Home Assistant Google Drive Backup Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.265180+00:00,2025-10-02T15:07:07.265180+00:00,binary_sensor,N/A,False,N/A
binary_sensor.peak_rate_period,Peak Rate Period,off,N/A,problem,N/A,mdi:check-circle,2025-10-02T15:08:53.540648+00:00,2025-10-02T15:08:53.540648+00:00,binary_sensor,N/A,False,N/A
binary_sensor.optimal_solar_period,Optimal Solar Period,off,N/A,light,N/A,mdi:weather-cloudy,2025-10-02T15:08:53.545732+00:00,2025-10-02T15:08:53.545732+00:00,binary_sensor,N/A,False,N/A
binary_sensor.battery_optimization_needed,Battery Optimization Needed,off,N/A,battery,N/A,N/A,2025-10-02T15:08:53.548337+00:00,2025-10-02T15:08:53.548337+00:00,binary_sensor,N/A,False,N/A
binary_sensor.google_drive_backup_health_status,Google Drive Backup Health Status,on,N/A,connectivity,N/A,mdi:cloud-check,2025-10-02T15:09:15.116220+00:00,2025-10-02T15:09:15.060286+00:00,binary_sensor,N/A,False,N/A
binary_sensor.google_drive_backup_critical_status,Google Drive Backup Critical Status,off,N/A,problem,N/A,mdi:check-circle,2025-10-02T15:09:15.117253+00:00,2025-10-02T15:09:15.065373+00:00,binary_sensor,N/A,False,N/A
binary_sensor.inverter_master_online,Master Inverter Online,off,N/A,connectivity,N/A,mdi:close-network,2025-10-02T15:08:53.554271+00:00,2025-10-02T15:08:53.554271+00:00,binary_sensor,N/A,False,N/A
binary_sensor.inverter_slave_online,Slave Inverter Online,off,N/A,connectivity,N/A,mdi:close-network,2025-10-02T15:08:53.556099+00:00,2025-10-02T15:08:53.556099+00:00,binary_sensor,N/A,False,N/A
binary_sensor.battery_master_critical,Master Battery Critical,off,N/A,problem,N/A,mdi:battery-check,2025-10-02T15:08:53.558037+00:00,2025-10-02T15:08:53.558037+00:00,binary_sensor,N/A,False,N/A
binary_sensor.battery_slave_critical,Slave Battery Critical,off,N/A,problem,N/A,mdi:battery-check,2025-10-02T15:08:53.560192+00:00,2025-10-02T15:08:53.560192+00:00,binary_sensor,N/A,False,N/A
binary_sensor.battery_voltage_issue,Battery Voltage Issue,off,N/A,problem,N/A,mdi:flash,2025-10-02T15:08:53.561871+00:00,2025-10-02T15:08:53.561871+00:00,binary_sensor,N/A,False,N/A
binary_sensor.solar_generation_issue,Solar Generation Issue,off,N/A,problem,N/A,mdi:solar-power,2025-10-02T15:08:53.563738+00:00,2025-10-02T15:08:53.563738+00:00,binary_sensor,N/A,False,N/A
binary_sensor.grid_connection_issue,Grid Connection Issue,off,N/A,problem,N/A,mdi:transmission-tower,2025-10-02T15:08:53.565207+00:00,2025-10-02T15:08:53.565207+00:00,binary_sensor,N/A,False,N/A
binary_sensor.inverter_system_health,Inverter System Health,off,N/A,safety,N/A,mdi:shield-alert,2025-10-02T15:08:53.567693+00:00,2025-10-02T15:08:53.567693+00:00,binary_sensor,N/A,False,N/A
binary_sensor.network_monitoring_active,Network Monitoring Active,off,N/A,connectivity,N/A,N/A,2025-10-02T15:18:00.309828+00:00,2025-10-02T15:18:00.309828+00:00,binary_sensor,N/A,False,N/A
binary_sensor.high_tariff_band_alert,High Tariff Band Alert,off,N/A,problem,N/A,mdi:check-circle,2025-10-02T15:08:53.570731+00:00,2025-10-02T15:08:53.570731+00:00,binary_sensor,N/A,False,N/A
